,feature,split,gain
0,month_decision,1115.6,18703.49538582545
1,weekday_decision,882.4,24018.660380622743
2,contractssum_5085716L,1027.4,29107.185165243784
3,days120_123L,1169.4,94084.10637533292
4,days180_256L,1298.2,76006.83113345652
5,days30_165L,979.6,56200.25135467574
6,days360_512L,1571.4,34344.296039178225
7,days90_310L,1250.8,91978.35295700282
8,education_1103M,669.6,41609.01737504006
9,firstquarter_103L,1008.2,12203.246899047494
10,fourthquarter_440L,1226.2,16166.49622258395
11,maritalst_385M,415.8,6227.359335947037
12,numberofqueries_373L,1511.8,35145.306086036006
13,pmtaverage_3A,1202.2,34010.82054324448
14,pmtaverage_4527227A,1134.0,27644.44600701332
15,pmtscount_423L,663.8,37570.719458162785
16,pmtssum_45A,1619.4,86783.28767507077
17,responsedate_4527233D,807.2,60649.273922264576
18,secondquarter_766L,1165.2,15354.759474914521
19,thirdquarter_1082L,1262.4,21083.376343148946
20,amtinstpaidbefduel24m_4187115A,1092.2,27352.433603332007
21,annuity_780A,3367.6,75033.58587684688
22,applicationscnt_867L,1114.2,31735.02022893131
23,avgdbddpdlast24m_3658932P,1055.6,82850.54546610863
24,avgdbddpdlast3m_4187120P,1158.4,25838.99211300174
25,avgdbdtollast24m_4525197P,720.0,18586.635002344847
26,avgdpdtolclosure24_3658938P,994.8,389001.8609031856
27,avginstallast24m_3658937A,964.4,10444.137481915579
28,avglnamtstart24m_4525187A,733.0,8869.045294527896
29,avgmaxdpdlast9m_3716943P,631.0,24989.558449071646
30,avgoutstandbalancel6m_4187114A,1010.8,12032.450777761265
31,avgpmtlast12m_4525200A,740.4,8167.692273424565
32,cntincpaycont9m_3716944L,1039.6,18136.396580407767
33,cntpmts24_3658933L,1405.2,59268.85077041108
34,credamount_770A,1965.2,59409.68098184131
35,credtype_322L,471.0,23969.066157203913
36,currdebt_22A,826.2,26910.379160726072
37,datefirstoffer_1144D,1241.2,24772.452499096376
38,datelastinstal40dpd_247D,1392.0,46573.01207300278
39,datelastunpaid_3546854D,1362.6,33791.50584813058
40,daysoverduetolerancedd_3976961L,895.6,20274.17444914989
41,disbursedcredamount_1113A,1877.6,69732.66604264415
42,disbursementtype_67L,385.4,18896.57074600458
43,downpmt_116A,848.0,16134.461853194982
44,dtlastpmtallstes_4499206D,991.8,12266.469333203882
45,eir_270L,1639.8,55263.93931524046
46,firstclxcampaign_1125D,1458.8,81610.88510507178
47,firstdatedue_489D,821.2,11382.999103533104
48,homephncnt_628L,504.6,15196.269363218546
49,inittransactionamount_650A,1403.6,31937.311326250434
50,interestrate_311L,1699.0,58357.309530599414
51,isbidproduct_1095L,575.0,30672.923069015145
52,lastactivateddate_801D,783.0,9307.469119101017
53,lastapplicationdate_877D,955.4,16552.38398597464
54,lastapprcommoditycat_1041M,1362.6,22915.364141225815
55,lastapprcredamount_781A,963.6,10589.530155801773
56,lastapprdate_640D,797.0,12240.823106517922
57,lastcancelreason_561M,1567.8,104143.19618954658
58,lastdelinqdate_224D,1941.2,56953.88160576201
59,lastrejectcommoditycat_161M,1276.2,18875.800535583498
60,lastrejectcredamount_222A,1436.2,18913.536479147522
61,lastrejectdate_50D,2056.2,148171.64180189167
62,lastrejectreason_759M,610.0,81968.97509198189
63,lastst_736L,474.6,62109.12849473953
64,maininc_215A,1193.2,13133.769336136058
65,maxannuity_159A,1479.6,20024.775250744075
66,maxdbddpdlast1m_3658939P,1361.2,33026.507433596256
67,maxdbddpdtollast12m_3658940P,1252.0,110505.67673383579
68,maxdbddpdtollast6m_4187119P,787.8,30913.55615546219
69,maxdebt4_972A,1064.6,23273.55239699334
70,maxdpdfrom6mto36m_3546853P,678.0,12651.594497296213
71,maxdpdinstldate_3546855D,1822.6,39954.240162088165
72,maxdpdinstlnum_3546846P,876.2,10030.719338421524
73,maxdpdlast12m_727P,520.2,72395.82378297448
74,maxdpdlast24m_143P,785.4,98556.37834734395
75,maxdpdlast3m_392P,659.8,27526.292082755266
76,maxdpdlast6m_474P,467.2,25417.588661307098
77,maxdpdlast9m_1059P,512.4,35855.42723484337
78,maxdpdtolerance_374P,833.4,16923.493467281012
79,maxinstallast24m_3658928A,1430.4,17552.13243074715
80,maxlnamtstart6m_4525199A,802.6,8432.518129048869
81,maxoutstandbalancel12m_4187113A,958.6,10676.065675390511
82,maxpmtlast3m_4525190A,666.4,7309.918247793056
83,mindbddpdlast24m_3658935P,1260.6,18222.76837880686
84,mindbdtollast24m_4525191P,801.0,9692.293304488809
85,mobilephncnt_593L,1717.8,184403.79669045508
86,monthsannuity_845L,926.2,36606.041436362175
87,numincomingpmts_3546848L,1358.4,45199.98067655899
88,numinstlallpaidearly3d_817L,694.0,40478.9361712886
89,numinstlsallpaid_934L,754.8,61255.04652796276
90,numinstlswithdpd10_728L,1211.4,48730.04133804441
91,numinstlswithdpd5_4187116L,509.4,6145.1319601655005
92,numinstlswithoutdpd_562L,742.0,38289.85884155743
93,numinstmatpaidtearly2d_4499204L,712.8,13503.703907598927
94,numinstpaid_4499208L,577.0,9492.865213997244
95,numinstpaidearly3d_3546850L,708.0,59180.37609097138
96,numinstpaidearly3dest_4493216L,553.2,9544.997571398319
97,numinstpaidearly5d_1087L,531.0,6530.153985765576
98,numinstpaidearly_338L,632.6,16459.93839106858
99,numinstpaidlastcontr_4325080L,732.8,8517.41912762248
100,numinstpaidlate1d_3546852L,712.0,8737.070314741135
101,numinstregularpaid_973L,810.6,13059.787246015669
102,numinstregularpaidest_4493210L,525.6,8243.23801720366
103,numinsttopaygr_769L,901.2,34572.54722210439
104,numinsttopaygrest_4493213L,432.2,14864.472061957418
105,numinstunpaidmax_3546851L,817.6,34741.07943091988
106,numinstunpaidmaxest_4493212L,458.0,18708.187375944854
107,numrejects9m_859L,498.6,68206.61331784725
108,pctinstlsallpaidearl3d_427L,1198.8,33301.556135264036
109,pctinstlsallpaidlat10d_839L,835.6,31885.183764320613
110,pctinstlsallpaidlate1d_3546856L,1525.6,166413.850641989
111,pctinstlsallpaidlate4d_3546849L,803.2,87264.03451597066
112,pctinstlsallpaidlate6d_3546844L,725.6,60306.00726056322
113,pmtnum_254L,2715.6,168702.18183817863
114,price_1097A,3855.2,215334.3063168645
115,sellerplacescnt_216L,655.6,11304.236593562364
116,sumoutstandtotal_3546847A,579.0,12804.09426227808
117,sumoutstandtotalest_4493215A,482.0,9156.865493130685
118,totaldebt_9A,699.8,24673.917816153167
119,totalsettled_863A,1232.2,30374.75955659747
120,totinstallast1m_4525188A,877.2,9495.64807210099
121,validfrom_1069D,1489.2,74941.22051295154
122,max_annuity_853A,1347.8,16992.312776508137
123,max_credacc_actualbalance_314A,650.6,15509.362543579191
124,max_credamount_590A,1005.6,12079.227194458246
125,max_currdebt_94A,590.4,11576.371262595057
126,max_downpmt_134A,644.4,7187.463977006078
127,max_mainoccupationinc_437A,974.6,11311.154304244556
128,max_maxdpdtolerance_577P,802.0,63424.89490934908
129,max_outstandingdebt_522A,636.8,16357.69026416093
130,max_approvaldate_319D,823.4,12719.565868717618
131,max_creationdate_885D,937.8,16071.091700641438
132,max_dateactivated_425D,792.8,9676.768926235334
133,max_dtlastpmt_581D,1590.8,24604.786483953147
134,max_dtlastpmtallstes_3545839D,1316.0,18881.26147959195
135,max_employedfrom_700D,1938.2,66749.89602524563
136,max_firstnonzeroinstldate_307D,1416.8,58816.349503653706
137,max_byoccupationinc_3656910L,563.2,5866.499030803144
138,max_childnum_21L,486.8,5689.3345967054365
139,max_familystate_726L,429.2,16900.46464524269
140,max_pmtnum_8L,639.4,17876.06702638194
141,max_tenor_203L,638.0,18580.72348355651
142,max_num_group1,763.8,13730.168634350597
143,mean_annuity_853A,1453.4,25474.958857708563
144,mean_credacc_actualbalance_314A,704.8,16223.419029839337
145,mean_credacc_credlmt_575A,511.4,6414.417290237883
146,mean_credacc_minhisbal_90A,627.4,9027.107657007315
147,mean_credamount_590A,1260.2,14646.253214484454
148,mean_currdebt_94A,894.8,40990.22736012675
149,mean_downpmt_134A,709.4,8656.469331716373
150,mean_mainoccupationinc_437A,1406.8,17748.440369739663
151,mean_maxdpdtolerance_577P,1328.6,296438.97988912463
152,mean_outstandingdebt_522A,1027.0,50426.49271440059
153,mean_approvaldate_319D,738.0,16217.624891457333
154,mean_creationdate_885D,867.0,13255.020099287667
155,mean_dateactivated_425D,742.0,13200.948296566308
156,mean_dtlastpmt_581D,1000.4,13829.006308778491
157,mean_dtlastpmtallstes_3545839D,990.2,13569.567044048385
158,mean_employedfrom_700D,1700.8,56610.36410773918
159,mean_firstnonzeroinstldate_307D,1104.4,19578.58940252643
160,mean_byoccupationinc_3656910L,752.2,7771.669557054341
161,mean_childnum_21L,739.4,8411.073245985806
162,mean_pmtnum_8L,1572.4,49880.640838966145
163,mean_tenor_203L,1524.8,49778.00450516306
164,mean_num_group1,735.0,12878.72832584642
165,min_annuity_853A,1054.8,13025.860517527162
166,min_credacc_maxhisbal_375A,597.6,7222.611933773756
167,min_credacc_minhisbal_90A,641.8,9495.952720815689
168,min_credamount_590A,1264.4,17446.894762793185
169,min_mainoccupationinc_437A,1282.6,18960.342929979786
170,min_revolvingaccount_394A,647.8,6663.7900606282055
171,min_approvaldate_319D,738.8,13656.510547742433
172,min_creationdate_885D,800.2,10176.636169414362
173,min_dateactivated_425D,725.2,16705.586845161764
174,min_dtlastpmt_581D,1003.8,14708.34274565354
175,min_dtlastpmtallstes_3545839D,978.6,13773.202445469238
176,min_employedfrom_700D,1540.2,29294.952613267513
177,min_firstnonzeroinstldate_307D,960.4,12891.043395594508
178,min_cancelreason_3545846M,3817.4,97435.78208813668
179,min_education_1138M,627.4,73082.89496145249
180,min_rejectreason_755M,751.2,114229.07375497818
181,min_credtype_587L,439.4,21528.119301533698
182,min_familystate_726L,654.6,36516.5370783329
183,min_inittransactioncode_279L,492.6,21261.123121231794
184,min_pmtnum_8L,612.6,11198.261556084453
185,min_tenor_203L,628.0,11981.856013535707
186,max_amount_4527230A,1782.4,65327.81575441919
187,max_num_group1_3,1099.0,48330.75420270711
188,mean_amount_4527230A,1747.6,44416.13896854967
189,mean_num_group1_3,1080.2,49028.497939983754
190,min_amount_4527230A,1392.2,25111.6629462298
191,max_amount_4917619A,786.4,16548.599809296244
192,max_num_group1_4,649.8,12661.446889497713
193,mean_amount_4917619A,779.4,13525.194727635384
194,mean_deductiondate_4917603D,588.6,9900.32559993416
195,min_amount_4917619A,1153.6,19387.672597280143
196,min_deductiondate_4917603D,536.4,9271.076033374668
197,max_pmtamount_36A,880.4,17530.198828430475
198,max_processingdate_168D,658.8,9454.750351648778
199,mean_pmtamount_36A,878.0,16343.434810191393
200,mean_processingdate_168D,813.4,12840.104380720853
201,mean_num_group1_5,502.4,25976.094190868735
202,min_pmtamount_36A,1014.8,15508.355157789028
203,min_processingdate_168D,717.6,14346.845607711375
204,max_mainoccupationinc_384A,924.0,9924.857606109977
205,max_birth_259D,3935.0,224525.74215254205
206,max_empl_employedfrom_271D,978.0,66862.45937069916
207,max_language1_981M,568.6,9924.676857569813
208,max_empl_industry_691L,521.6,9773.31230020523
209,max_familystate_447L,466.2,18137.31857638359
210,max_incometype_1044T,947.6,91235.51567831039
211,max_relationshiptoclient_415T,748.0,34260.196320486066
212,max_relationshiptoclient_642T,711.4,32248.968754005433
213,max_sex_738L,742.6,85798.17476153374
214,mean_mainoccupationinc_384A,905.6,9602.60582794547
215,mean_empl_employedfrom_271D,928.0,64530.23724250942
216,min_mainoccupationinc_384A,876.6,9337.833606850449
217,min_empl_employedfrom_271D,906.4,68220.46898971051
218,min_education_927M,635.6,100117.99560928345
219,min_language1_981M,602.2,11226.074155735969
220,min_empl_industry_691L,524.0,8315.832983827591
221,min_familystate_447L,474.0,19789.798859930037
222,min_incometype_1044T,943.0,88340.11126308441
223,min_relationshiptoclient_415T,818.6,39667.37489748001
224,min_relationshiptoclient_642T,816.2,41300.467464160916
225,min_sex_738L,616.4,72716.40972899199
226,min_amount_416A,705.0,9212.3431070894
